text,label,source
Analysis and Data,0,PremiumTimes_Real
"SHOCKING!!! CANDIDATE SELECTION OR CIVILIAN COUP?, BY DAKUKU PETERSIDE DON'T IGNORE THIS!",1,Synthetic_Fake_Augmented
Forgotten Password?,0,PremiumTimes_Real
Why I finally wrote my memoir after 60 years – Gowon,0,PremiumTimes_Real
CONFIRMED!!! MODERN SLAVERY: INSIDE NIGERIAN COMMUNITIES WHERE CHILDREN ARE SOLD INTO MARRIAGE (II) !!!,1,Synthetic_Fake_Augmented
Online Kaszinó Magyar,0,PremiumTimes_Real
CONFIRMED!!! ﻿UCTH CMD SAYS RELOCATION OF MEDICAL PROFESSIONALS GRADUALLY REDUCING READ AND SHARE!,1,Synthetic_Fake_Augmented
Features And Interviews,0,PremiumTimes_Real
Features and Interviews,0,PremiumTimes_Real
"The Premium Times, Nigeria",0,PremiumTimes_Real
URGENT SHARE NOW: Special Reports and Investigations FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
FINAL WARNING: SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy !!!,1,Synthetic_Fake_Augmented
CONFIRMED!!! DATA & INFOGRAPHICS SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
APC Primaries: All 7 Zamfara incumbent Reps secure return tickets,0,PremiumTimes_Real
URGENT SHARE NOW: Special Reports and Investigations ???,1,Synthetic_Fake_Augmented
Geriausi kazino internetu,0,PremiumTimes_Real
URGENT SHARE NOW: FORGOTTEN PASSWORD? !!!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
Geriausi kazino internetu,0,PremiumTimes_Real
FINAL WARNING: Read moreDetails READ AND SHARE!,1,Synthetic_Fake_Augmented
"YOU WON'T BELIEVE: HOW CLOSE ASSOCIATES BETRAYED, OVERTHREW ME — GOWON DON'T IGNORE THIS!",1,Synthetic_Fake_Augmented
Special Reports and Investigations,0,PremiumTimes_Real
BREAKING NEWS: Geriausi kazino internetu READ AND SHARE!,1,Synthetic_Fake_Augmented
CONFIRMED!!! Financial Inclusion DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
EFCC secures final forfeiture of jet linked to NNPC power project probe,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
SHOCKING!!! READ MOREDETAILS ???,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
URGENT SHARE NOW: Why I supported Lagos Speaker Obasa’s removal — Desmond Elliott READ AND SHARE!,1,Synthetic_Fake_Augmented
Primary Health Tracker,0,PremiumTimes_Real
CONFIRMED!!! Our Digital Network DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
"Eid and the epidemic of empty pockets, By Reuben Abati",0,PremiumTimes_Real
CONFIRMED!!! Another former minister boycotts Gombe APC governorship primary ???,1,Synthetic_Fake_Augmented
CONFIRMED!!! Read moreDetails DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
BREAKING NEWS: Analysis and Data SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
URGENT SHARE NOW: ABDULRAZAQ ENDORSES GOVERNORSHIP ASPIRANT AMID KWARA APC TENSIONS !!!,1,Synthetic_Fake_Augmented
2024 Ondo Governorship Election,0,PremiumTimes_Real
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,PremiumTimes_Real
#EndSARS Dashboard,0,PremiumTimes_Real
URGENT SHARE NOW: PRIMARY HEALTH TRACKER SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Primary Health Tracker,0,PremiumTimes_Real
FINAL WARNING: EXCLUSIVE: WHY TINUBU FIRED WALE EDUN AS FINANCE MINISTER SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
"CONFIRMED!!! DHQ GIVES UPDATE ON NIGERIA-US OPERATIONS AGAINST ISLAMIC STATE, SAYS 175 TERRORISTS KILLED READ AND SHARE!",1,Synthetic_Fake_Augmented
YOU WON'T BELIEVE: READ MOREDETAILS SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
ADC screens over 70 governorship aspirants ahead of primaries,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
APC Primaries: Thugs attack electoral official in Kaduna,0,PremiumTimes_Real
Panama Papers Game,0,PremiumTimes_Real
"FINAL WARNING: INSIDE THE INFORMANT NETWORKS UNDERMINING NIGERIA’S ANTI-BANDITRY CAMPAIGN, BY SAMUEL ARUWAN FORWARD IMMEDIATELY!",1,Synthetic_Fake_Augmented
BREAKING NEWS: Abdulqudus Ogundapo SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Business Specials,0,PremiumTimes_Real
"Candidate selection or civilian coup?, By Dakuku Peterside",0,PremiumTimes_Real
Primary Health Tracker,0,PremiumTimes_Real
Analysis and Data,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1),0,PremiumTimes_Real
Headline Stories,0,PremiumTimes_Real
YOU WON'T BELIEVE: More Sports News SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
FINAL WARNING: Manasseh Mbachii ???,1,Synthetic_Fake_Augmented
Panama Papers Game,0,PremiumTimes_Real
SHOCKING!!! Online Kaszinó Magyar ???,1,Synthetic_Fake_Augmented
FINAL WARNING: More Sports News FORWARD IMMEDIATELY!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
URGENT SHARE NOW: Headline Stories DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
SHOCKING!!! ABUBAKAR AHMADU MAISHANU DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Gubernatorial & State House,0,PremiumTimes_Real
Parliament Watch,0,PremiumTimes_Real
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,PremiumTimes_Real
CONFIRMED!!! 2024 Edo Governorship Election DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
More Sports News,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
FINAL WARNING: READ MOREDETAILS ???,1,Synthetic_Fake_Augmented
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,PremiumTimes_Real
BREAKING NEWS: Read moreDetails DON'T IGNORE THIS!,1,Synthetic_Fake_Augmented
Centre for Investigative Journalism,0,PremiumTimes_Real
SHOCKING!!! 2024 ONDO GOVERNORSHIP ELECTION SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Presidential & NASS,0,PremiumTimes_Real
SHOCKING!!! Court strikes out deceased deputy governor’s suit READ AND SHARE!,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
CONFIRMED!!! non Gamstop casinos SHARE TO ALL GROUPS!,1,Synthetic_Fake_Augmented
Flood Threat: NEMA launches response campaign in Rivers,0,PremiumTimes_Real
Mariya Shuaibu Suleiman,0,PremiumTimes_Real
Headline Stories,0,PremiumTimes_Real
Judge rules on SSS lawyer’s complaint of El-Rufai family’s alleged inciteful conduct,0,PremiumTimes_Real
URGENT SHARE NOW: SPECIAL REPORT: NIGERIA’S MARITIME UNIVERSITY UPGRADE STALLS AS BILLIONS FLOW INTO REPEALED ACADEMY READ AND SHARE!,1,Synthetic_Fake_Augmented
Human Trafficking Investigation,0,PremiumTimes_Real
Blood on Uniforms,0,PremiumTimes_Real
"Candidate selection or civilian coup?, By Dakuku Peterside",0,PremiumTimes_Real
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
Онлайн казино Казахстан,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,PremiumTimes_Real
Read moreDetails,0,PremiumTimes_Real
"YOU WON'T BELIEVE: DHQ DISMISSES CLAIMS OF TERRORIST BASE IN SOUTH-WEST, INTENSIFIES SEARCH FOR ABDUCTED OYO PUPILS !!!",1,Synthetic_Fake_Augmented
CONFIRMED!!! Read moreDetails ???,1,Synthetic_Fake_Augmented
Read moreDetails,0,PremiumTimes_Real
FINAL WARNING: LIST: Federal Unity Colleges in Nigeria ???,1,Synthetic_Fake_Augmented
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,PremiumTimes_Real
2024 Edo Governorship Election,0,PremiumTimes_Real
BREAKING NEWS: Financial Inclusion READ AND SHARE!,1,Synthetic_Fake_Augmented
2024 Ondo Governorship Election,0,PremiumTimes_Real
FINAL WARNING: SPECIAL REPORT: NIGERIA’S MARITIME UNIVERSITY UPGRADE STALLS AS BILLIONS FLOW INTO REPEALED ACADEMY READ AND SHARE!,1,Synthetic_Fake_Augmented
