text,label,source,type
BREAKING NEWS: OIL-WELL DISPUTE: INSIDE THE REPORT THAT RESTORES CROSS RIVER’S HOPE READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,Premium Times,Verified_Real
AFCON 2027: Super Eagles await opponents as CAF conducts qualifiers draw in Cairo,0,Premium Times,Verified_Real
EPL: Arsenal move five points clear after slim win over Burnley,0,Premium Times,Verified_Real
"Army expands nationwide formations, honours fallen, wounded soldiers",0,Premium Times,Verified_Real
BREAKING NEWS: Our Digital Network SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
Late arrival of officials stalls APC’s state assembly primaries in Lagos,0,Premium Times,Verified_Real
DRC-Uganda Ebola emergency followed IHR procedures — WHO,0,Premium Times,Verified_Real
URGENT SHARE NOW: Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Verified_Real
"Gowon’s Autobiography: T.Y. Danjuma donates N3bn, Dangote N500m",0,Premium Times,Verified_Real
"BREAKING NEWS: JUST IN: Pantami withdraws from Gombe APC governorship primaries, gives reasons READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
"URGENT SHARE NOW: South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1),0,Premium Times,Verified_Real
Why I finally wrote my memoir after 60 years – Gowon,0,Premium Times,Verified_Real
YOU WON'T BELIEVE: CBN RETAINS INTEREST RATE AT 26.5% !!!,1,Synthetic_Augmentation,Synthetic_Fake
URGENT SHARE NOW: DOWNLOAD: SSS operatives’ N100 million defamation judgement against SERAP READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
CBN retains interest rate at 26.5%,0,Premium Times,Verified_Real
"NDC as the new frontier of opposition, By Majeed Dahiru",0,Premium Times,Verified_Real
"YOU WON'T BELIEVE: SOUTH AFRICA DOESN’T HAVE A LEADERSHIP CRISIS: IT HAS A HUMANITY CRISIS, BY NQOBILE PAMELA XABA !!!",1,Synthetic_Augmentation,Synthetic_Fake
URGENT SHARE NOW: SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
CONFIRMED!!! SPECIAL REPORT: NIGERIA’S MARITIME UNIVERSITY UPGRADE STALLS AS BILLIONS FLOW INTO REPEALED ACADEMY FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
"CONFIRMED!!! Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,Premium Times,Verified_Real
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Verified_Real
Late arrival of officials stalls APC’s state assembly primaries in Lagos,0,Premium Times,Verified_Real
BREAKING NEWS: Modern Slavery: Inside Nigerian communities where children are sold into marriage (II) DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: CANDIDATE SELECTION OR CIVILIAN COUP?, BY DAKUKU PETERSIDE READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Verified_Real
INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1),0,Premium Times,Verified_Real
SHOCKING!!! EPL: ARSENAL MOVE FIVE POINTS CLEAR AFTER SLIM WIN OVER BURNLEY READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
"Candidate selection or civilian coup?, By Dakuku Peterside",0,Premium Times,Verified_Real
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Verified_Real
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Verified_Real
CONFIRMED!!! SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Verified_Real
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,Premium Times,Verified_Real
Our Digital Network,0,Premium Times,Verified_Real
URGENT SHARE NOW: SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy !!!,1,Synthetic_Augmentation,Synthetic_Fake
"SHOCKING!!! ASPIRANTS REJECT RESULT OF APC PRIMARY IN EKITI, DEMAND CANCELLATION SHARE TO ALL GROUPS!",1,Synthetic_Augmentation,Synthetic_Fake
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Verified_Real
"URGENT SHARE NOW: Aspirants reject result of APC primary in Ekiti, demand cancellation READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
Court strikes out deceased deputy governor’s suit,0,Premium Times,Verified_Real
CONFIRMED!!! Projects & Partnerships READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Verified_Real
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,Premium Times,Verified_Real
"CONFIRMED!!! INVESTIGATION: THE ILLEGAL TIMBER TRADE FUELLING TERRORISM IN NORTH-CENTRAL NIGERIA, BENIN DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
APC Primaries: Adebule emerges Lagos West candidate unopposed,0,Premium Times,Verified_Real
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Verified_Real
BREAKING NEWS: Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
"BREAKING NEWS: INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: EID AND THE EPIDEMIC OF EMPTY POCKETS, BY REUBEN ABATI !!!",1,Synthetic_Augmentation,Synthetic_Fake
"BREAKING NEWS: South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
Togo removes visa requirement for African nationals,0,Premium Times,Verified_Real
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,Premium Times,Verified_Real
"YOU WON'T BELIEVE: PENCOM, NLC MOVE AGAINST PENSION NON-REMITTANCE BY EMPLOYERS READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
SHOCKING!!! Modern Slavery: Inside Nigerian communities where children are sold into marriage (II) SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
"URGENT SHARE NOW: Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan SHARE TO ALL GROUPS!",1,Synthetic_Augmentation,Synthetic_Fake
SHOCKING!!! COURT STRIKES OUT DECEASED DEPUTY GOVERNOR’S SUIT !!!,1,Synthetic_Augmentation,Synthetic_Fake
"Chelle picks Osimhen, Lookman for Portugal, Poland friendlies, names seven NPFL stars for Unity Cup",0,Premium Times,Verified_Real
URGENT SHARE NOW: SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
2027: APC appeal committee receives 5 petitions on Delta NASS primaries,0,Premium Times,Verified_Real
"BREAKING NEWS: Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Verified_Real
YOU WON'T BELIEVE: SPECIAL REPORT: HOW FAMILIES COPED WITH 10-YEAR CLOSURE OF 23 SCHOOLS IN OYO SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
"Candidate selection or civilian coup?, By Dakuku Peterside",0,Premium Times,Verified_Real
BREAKING NEWS: OUR DIGITAL NETWORK FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,Premium Times,Verified_Real
"YOU WON'T BELIEVE: NRS, JRB TO IMPLEMENT TAX ID SYSTEM !!!",1,Synthetic_Augmentation,Synthetic_Fake
URGENT SHARE NOW: ANOTHER FORMER MINISTER BOYCOTTS GOMBE APC GOVERNORSHIP PRIMARY FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
YOU WON'T BELIEVE: INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1) FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,Premium Times,Verified_Real
"NDC as the new frontier of opposition, By Majeed Dahiru",0,Premium Times,Verified_Real
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Verified_Real
BREAKING NEWS: INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1) !!!,1,Synthetic_Augmentation,Synthetic_Fake
"BREAKING NEWS: INSIDE THE INFORMANT NETWORKS UNDERMINING NIGERIA’S ANTI-BANDITRY CAMPAIGN, BY SAMUEL ARUWAN DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
Projects & Partnerships,0,Premium Times,Verified_Real
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Verified_Real
Modern Slavery: Inside Nigerian communities where children are sold into marriage (II),0,Premium Times,Verified_Real
"YOU WON'T BELIEVE: 2027: ‘I’m 63, you can’t call me boy, be careful!’ Kano governor warns Kwankwaso READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
"SHOCKING!!! INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
"URGENT SHARE NOW: INVESTIGATION: THE ILLEGAL TIMBER TRADE FUELLING TERRORISM IN NORTH-CENTRAL NIGERIA, BENIN FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Verified_Real
CONFIRMED!!! OIL-WELL DISPUTE: INSIDE THE REPORT THAT RESTORES CROSS RIVER’S HOPE SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: EID AND THE EPIDEMIC OF EMPTY POCKETS, BY REUBEN ABATI !!!",1,Synthetic_Augmentation,Synthetic_Fake
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Verified_Real
SHOCKING!!! EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
"BREAKING NEWS: NDC AS THE NEW FRONTIER OF OPPOSITION, BY MAJEED DAHIRU READ AND SHARE!",1,Synthetic_Augmentation,Synthetic_Fake
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Verified_Real
"URGENT SHARE NOW: CSOS CONDEMN BORNO SCHOOLCHILDREN ABDUCTION, DEMAND SECURITY OVERHAUL !!!",1,Synthetic_Augmentation,Synthetic_Fake
"BREAKING NEWS: CSOS CONDEMN BORNO SCHOOLCHILDREN ABDUCTION, DEMAND SECURITY OVERHAUL FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Verified_Real
"NDC as the new frontier of opposition, By Majeed Dahiru",0,Premium Times,Verified_Real
CONFIRMED!!! Ondo govt closes schools for APC assembly primaries after Monday’s violence READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Verified_Real
Add New Playlist,0,Premium Times,Verified_Real
"BREAKING NEWS: APC returns incumbents, picks new faces in Osun primaries DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,Premium Times,Verified_Real
"CONFIRMED!!! SOUTH AFRICA DOESN’T HAVE A LEADERSHIP CRISIS: IT HAS A HUMANITY CRISIS, BY NQOBILE PAMELA XABA FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
"SHOCKING!!! INVESTIGATION: THE ILLEGAL TIMBER TRADE FUELLING TERRORISM IN NORTH-CENTRAL NIGERIA, BENIN FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
Arsenal crowned Premier League champions after Man City stumble at Bournemouth,0,Premium Times,Verified_Real
WHO warns global preparedness failing amid rising pandemic threats,0,Premium Times,Verified_Real
"BREAKING NEWS: SOUTH AFRICA DOESN’T HAVE A LEADERSHIP CRISIS: IT HAS A HUMANITY CRISIS, BY NQOBILE PAMELA XABA SHARE TO ALL GROUPS!",1,Synthetic_Augmentation,Synthetic_Fake
BREAKING NEWS: EXCLUSIVE: WHY TINUBU FIRED WALE EDUN AS FINANCE MINISTER !!!,1,Synthetic_Augmentation,Synthetic_Fake
Wrexham goalkeeper Arthur Okonkwo speaks on first Super Eagles’ call-up,0,Premium Times,Verified_Real
URGENT SHARE NOW: CBN retains interest rate at 26.5% !!!,1,Synthetic_Augmentation,Synthetic_Fake
BREAKING NEWS: Plateau APC primaries sweep out six federal lawmakers READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
BREAKING NEWS: 2027: Court to deliver judgement in suit challenging Jonathan’s eligibility DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,Premium Times,Verified_Real
"Nigeria police busts trafficking syndicate, rescues 30 Malians, arrests 13 suspects",0,Premium Times,Verified_Real
APC Primaries: Thugs attack electoral official in Kaduna,0,Premium Times,Verified_Real
CONFIRMED!!! RESOURCE CURSE? THE ONLY SCHOOL IN THIS AKWA IBOM OIL COMMUNITY LIES IN RUINS !!!,1,Synthetic_Augmentation,Synthetic_Fake
CBN retains interest rate at 26.5%,0,Premium Times,Verified_Real
Lecturers at University of Cross River begin indefinite strike,0,Premium Times,Verified_Real
CONFIRMED!!! ABIA INAUGURATES BIOGAS PILOT PROJECT TO DRIVE RENEWABLE ENERGY – OFFICIAL DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
URGENT SHARE NOW: EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
CONFIRMED!!! INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1) DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
BREAKING NEWS: Oil-well Dispute: Inside the report that restores Cross River’s hope SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
APC revises list of disqualified senatorial aspirants,0,Premium Times,Verified_Real
URGENT SHARE NOW: Add New Playlist DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
"URGENT SHARE NOW: INVESTIGATION: THE ILLEGAL TIMBER TRADE FUELLING TERRORISM IN NORTH-CENTRAL NIGERIA, BENIN DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: CONTENT MONETISATION: THE INTERNET IS REWARDING HARM, AND WOMEN ARE PAYING THE PRICE, BY CHIOMA AGWUEGBO DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Verified_Real
YOU WON'T BELIEVE: EXCLUSIVE: WHY TINUBU FIRED WALE EDUN AS FINANCE MINISTER READ AND SHARE!,1,Synthetic_Augmentation,Synthetic_Fake
"How close associates betrayed, overthrew me — Gowon",0,Premium Times,Verified_Real
Late arrival of officials stalls APC’s state assembly primaries in Lagos,0,Premium Times,Verified_Real
"Dangote refinery cuts aviation fuel price to N1,650",0,Premium Times,Verified_Real
URGENT SHARE NOW: Resource Curse? The only school in this Akwa Ibom oil community lies in ruins DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
URGENT SHARE NOW: MODERN SLAVERY: INSIDE NIGERIAN COMMUNITIES WHERE CHILDREN ARE SOLD INTO MARRIAGE (II) FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
YOU WON'T BELIEVE: EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
"DHQ gives update on Nigeria-US operations against Islamic State, says 175 terrorists killed",0,Premium Times,Verified_Real
BREAKING NEWS: MODERN SLAVERY: INSIDE NIGERIAN COMMUNITIES WHERE CHILDREN ARE SOLD INTO MARRIAGE (II) !!!,1,Synthetic_Augmentation,Synthetic_Fake
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Verified_Real
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Verified_Real
"2027: Dafinone defeats Omo-Agege, wins APC senatorial ticket in Delta",0,Premium Times,Verified_Real
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,Premium Times,Verified_Real
SHOCKING!!! SPECIAL REPORT: HOW FAMILIES COPED WITH 10-YEAR CLOSURE OF 23 SCHOOLS IN OYO !!!,1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: OAU INDUCTS 157 MEDICAL, DENTAL GRADUATES SHARE TO ALL GROUPS!",1,Synthetic_Augmentation,Synthetic_Fake
"Chelle picks Osimhen, Lookman for Portugal, Poland friendlies, names seven NPFL stars for Unity Cup",0,Premium Times,Verified_Real
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Verified_Real
"SHOCKING!!! Candidate selection or civilian coup?, By Dakuku Peterside FORWARD IMMEDIATELY!",1,Synthetic_Augmentation,Synthetic_Fake
