text,label,source,type
URGENT SHARE NOW: HOUSE OF ASSEMBLY MEMBER WINS APC TICKET IN ABIA SOUTH DISTRICT !!!,1,Synthetic_Augmentation,Synthetic_Fake
"YOU WON'T BELIEVE: CJID, EU LAUNCH INITIATIVE TO FIGHT DISINFORMATION, STRENGTHEN DEMOCRATIC RESILIENCE IN NORTH-WEST NIGERIA DON'T IGNORE THIS!",1,Synthetic_Augmentation,Synthetic_Fake
YOU WON'T BELIEVE: WHY I FINALLY WROTE MY MEMOIR AFTER 60 YEARS – GOWON SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
CONFIRMED!!! ‎Ondo doctors threaten action over alleged decline in welfare and manpower. FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
CONFIRMED!!! APC primaries sweep out over 50 reps ahead of 2027 elections !!!,1,Synthetic_Augmentation,Synthetic_Fake
URGENT SHARE NOW: WIZKID SETS RECORD AS FIRST AFRICAN ARTISTE TO REACH 11 BILLION SPOTIFY STREAMS !!!,1,Synthetic_Augmentation,Synthetic_Fake
YOU WON'T BELIEVE: Oil-well Dispute: Inside the report that restores Cross River’s hope FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
"Family protest over El-Rufai’s detention by SSS, healthcare access, ICPC speaks",0,Premium Times,Verified_Real
"URGENT SHARE NOW: NDC AS THE NEW FRONTIER OF OPPOSITION, BY MAJEED DAHIRU !!!",1,Synthetic_Augmentation,Synthetic_Fake
YOU WON'T BELIEVE: EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
CONFIRMED!!! Projects & Partnerships !!!,1,Synthetic_Augmentation,Synthetic_Fake
"EU, UNODC, ECOWAS back Nigeria’s 2026-2030 drug control plan",0,Premium Times,Verified_Real
CONFIRMED!!! Resource Curse? The only school in this Akwa Ibom oil community lies in ruins FORWARD IMMEDIATELY!,1,Synthetic_Augmentation,Synthetic_Fake
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Verified_Real
SHOCKING!!! MODERN SLAVERY: INSIDE NIGERIAN COMMUNITIES WHERE CHILDREN ARE SOLD INTO MARRIAGE (II) DON'T IGNORE THIS!,1,Synthetic_Augmentation,Synthetic_Fake
SHOCKING!!! SPECIAL REPORT: HOW FAMILIES COPED WITH 10-YEAR CLOSURE OF 23 SCHOOLS IN OYO SHARE TO ALL GROUPS!,1,Synthetic_Augmentation,Synthetic_Fake
