text,label,source,type
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Silver_Standard_Training_Data
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Silver_Standard_Training_Data
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Silver_Standard_Training_Data
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,Premium Times,Silver_Standard_Training_Data
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,Premium Times,Silver_Standard_Training_Data
Modern Slavery: Inside Nigerian communities where children are sold into marriage (II),0,Premium Times,Silver_Standard_Training_Data
INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1),0,Premium Times,Silver_Standard_Training_Data
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Silver_Standard_Training_Data
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,Premium Times,Silver_Standard_Training_Data
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Silver_Standard_Training_Data
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,Premium Times,Silver_Standard_Training_Data
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,Premium Times,Silver_Standard_Training_Data
"Eid and the epidemic of empty pockets, By Reuben Abati",0,Premium Times,Silver_Standard_Training_Data
"NDC as the new frontier of opposition, By Majeed Dahiru",0,Premium Times,Silver_Standard_Training_Data
"Candidate selection or civilian coup?, By Dakuku Peterside",0,Premium Times,Silver_Standard_Training_Data
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Silver_Standard_Training_Data
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Silver_Standard_Training_Data
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Silver_Standard_Training_Data
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,Premium Times,Silver_Standard_Training_Data
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,Premium Times,Silver_Standard_Training_Data
Modern Slavery: Inside Nigerian communities where children are sold into marriage (II),0,Premium Times,Silver_Standard_Training_Data
INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1),0,Premium Times,Silver_Standard_Training_Data
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Silver_Standard_Training_Data
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,Premium Times,Silver_Standard_Training_Data
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Silver_Standard_Training_Data
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,Premium Times,Silver_Standard_Training_Data
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,Premium Times,Silver_Standard_Training_Data
"Eid and the epidemic of empty pockets, By Reuben Abati",0,Premium Times,Silver_Standard_Training_Data
"NDC as the new frontier of opposition, By Majeed Dahiru",0,Premium Times,Silver_Standard_Training_Data
"Candidate selection or civilian coup?, By Dakuku Peterside",0,Premium Times,Silver_Standard_Training_Data
"Chelle picks Osimhen, Lookman for Portugal, Poland friendlies, names seven NPFL stars for Unity Cup",0,Premium Times,Silver_Standard_Training_Data
Court strikes out deceased deputy governor’s suit,0,Premium Times,Silver_Standard_Training_Data
"CJID, EU launch initiative to fight disinformation, strengthen democratic resilience in north-west Nigeria",0,Premium Times,Silver_Standard_Training_Data
"DHQ dismisses claims of terrorist base in South-west, intensifies search for abducted Oyo pupils",0,Premium Times,Silver_Standard_Training_Data
ADC begins screening of governorship aspirants,0,Premium Times,Silver_Standard_Training_Data
Falana petitions African Commission over xenophobia attacks in South Africa,0,Premium Times,Silver_Standard_Training_Data
"Kano teacher remanded, school shut over alleged sexual abuse of pupils",0,Premium Times,Silver_Standard_Training_Data
2027: APC appeal committee receives 5 petitions on Delta NASS primaries,0,Premium Times,Silver_Standard_Training_Data
"Enugu, Chinese firm launch digital training for students",0,Premium Times,Silver_Standard_Training_Data
Another former minister boycotts Gombe APC governorship primary,0,Premium Times,Silver_Standard_Training_Data
Lecturers at University of Cross River begin indefinite strike,0,Premium Times,Silver_Standard_Training_Data
Flood Threat: NEMA launches response campaign in Rivers,0,Premium Times,Silver_Standard_Training_Data
"FAAN announces additional health screening measures, enhanced Ebola surveillance at Nigerian airports",0,Premium Times,Silver_Standard_Training_Data
Oloyede made JAMB model for Nigeria’s public institutions – Cleric,0,Premium Times,Silver_Standard_Training_Data
"How close associates betrayed, overthrew me — Gowon",0,Premium Times,Silver_Standard_Training_Data
"CSOs condemn Borno schoolchildren abduction, demand security overhaul",0,Premium Times,Silver_Standard_Training_Data
Plateau APC primaries sweep out six federal lawmakers,0,Premium Times,Silver_Standard_Training_Data
"Sowore refuses to enter defence in cyber-bullying trial, writes Chief Judge for case transfer",0,Premium Times,Silver_Standard_Training_Data
Wizkid sets record as first African artiste to reach 11 billion Spotify streams,0,Premium Times,Silver_Standard_Training_Data
"Gowon Memoir: Jonathan, Sultan, rally Nigerians to preserve history",0,Premium Times,Silver_Standard_Training_Data
﻿UCTH CMD says relocation of medical professionals gradually reducing,0,Premium Times,Silver_Standard_Training_Data
Lawyers critical to ending corruption in Nigeria – NBA committee,0,Premium Times,Silver_Standard_Training_Data
Kukah recounts Gowon’s post-exile life after ouster from power,0,Premium Times,Silver_Standard_Training_Data
DRC-Uganda Ebola emergency followed IHR procedures — WHO,0,Premium Times,Silver_Standard_Training_Data
Arsenal crowned Premier League champions after Man City stumble at Bournemouth,0,Premium Times,Silver_Standard_Training_Data
"DHQ gives update on Nigeria-US operations against Islamic State, says 175 terrorists killed",0,Premium Times,Silver_Standard_Training_Data
"Aspirants reject result of APC primary in Ekiti, demand cancellation",0,Premium Times,Silver_Standard_Training_Data
Court begins contempt proceedings against FCCPC over alleged breach of digital lending order,0,Premium Times,Silver_Standard_Training_Data
Our Digital Network,0,Premium Times,Silver_Standard_Training_Data
Projects & Partnerships,0,Premium Times,Silver_Standard_Training_Data
Retrieve your password,0,Premium Times,Silver_Standard_Training_Data
Add New Playlist,0,Premium Times,Silver_Standard_Training_Data
SPECIAL REPORT: Nigeria’s maritime university upgrade stalls as billions flow into repealed academy,0,Premium Times,Silver_Standard_Training_Data
Resource Curse? The only school in this Akwa Ibom oil community lies in ruins,0,Premium Times,Silver_Standard_Training_Data
EXCLUSIVE: Why Tinubu fired Wale Edun as finance minister,0,Premium Times,Silver_Standard_Training_Data
Fiscal Breach Uncovered: How Imo under Uzodinma spent N101.5 billion in unapproved funds,0,Premium Times,Silver_Standard_Training_Data
Oil-well Dispute: Inside the report that restores Cross River’s hope,0,Premium Times,Silver_Standard_Training_Data
Modern Slavery: Inside Nigerian communities where children are sold into marriage (II),0,Premium Times,Silver_Standard_Training_Data
INVESTIGATION: Inside Nigerian communities where children are forced into marriage (1),0,Premium Times,Silver_Standard_Training_Data
"INVESTIGATION: The illegal timber trade fuelling terrorism in North-central Nigeria, Benin",0,Premium Times,Silver_Standard_Training_Data
SPECIAL REPORT: How families coped with 10-year closure of 23 schools in Oyo,0,Premium Times,Silver_Standard_Training_Data
"Inside the informant networks undermining Nigeria’s anti-banditry campaign, By Samuel Aruwan",0,Premium Times,Silver_Standard_Training_Data
"Content monetisation: The internet is rewarding harm, and women are paying the price, By Chioma Agwuegbo",0,Premium Times,Silver_Standard_Training_Data
"South Africa doesn’t have a leadership crisis: It has a humanity crisis, By Nqobile Pamela Xaba",0,Premium Times,Silver_Standard_Training_Data
"Eid and the epidemic of empty pockets, By Reuben Abati",0,Premium Times,Silver_Standard_Training_Data
"NDC as the new frontier of opposition, By Majeed Dahiru",0,Premium Times,Silver_Standard_Training_Data
"Candidate selection or civilian coup?, By Dakuku Peterside",0,Premium Times,Silver_Standard_Training_Data
